resto_id,resto_name,url,kota,rating,preferred,opening_id
91,mr kang petojo utara,https://food.grab.com/id/id/restaurant/mr-kang-petojo-utara-delivery/6-C3UDN7U2TYUCCA?,Jakarta,4.8,1,2.0
92,bakso rusuk aulia putri gambir,https://food.grab.com/id/id/restaurant/bakso-rusuk-aulia-putri-gambir-delivery/6-C2UZRKMGEN5YE2?,Jakarta,4.4,1,32.0
93,gamchi potato cheese bread thamrin,https://food.grab.com/id/id/restaurant/gamchi-potato-cheese-bread-thamrin-delivery/6-C4B1VVBXN3T3LJ?,Jakarta,4.7,1,31.0
94,martabak pecenongan 78 kwitang kembang raya,https://food.grab.com/id/id/restaurant/martabak-pecenongan-78-kwitang-kembang-raya-delivery/6-CZDYNRMVVB5DAX?,Jakarta,4.8,1,8.0
95,mr ollie sarinah,https://food.grab.com/id/id/restaurant/mr-ollie-sarinah-delivery/6-C32XL7UTHFDFAJ?,Jakarta,4.9,1,3.0
96,mo tahu aja hayam wuruk,https://food.grab.com/id/id/restaurant/mo-tahu-aja-hayam-wuruk-delivery/6-C2DJV3EZNFLBJA?,Jakarta,4.6,1,2.0
97,tahu go wahid hasyim,https://food.grab.com/id/id/restaurant/tahu-go-wahid-hasyim-delivery/6-C2BXKEMZTYJZC6?,Jakarta,4.6,1,2.0
98,healthylicious dapurhub,https://food.grab.com/id/id/restaurant/healthylicious-dapurhub-delivery/6-C3CET7AGJ6JJWE?,Jakarta,4.7,1,2.0
99,cita rasa pedas kebon kelapa,https://food.grab.com/id/id/restaurant/cita-rasa-pedas-kebon-kelapa-delivery/6-C3WAVTJZLPECET?,Jakarta,4.7,1,35.0
100,nasi kulit gokskin gambir,https://food.grab.com/id/id/restaurant/nasi-kulit-gokskin-gambir-delivery/6-CZNKJJKHN26WGX?,Jakarta,4.7,1,36.0
101,burger bangor gondangdia,https://food.grab.com/id/id/restaurant/burger-bangor-gondangdia-delivery/6-C2VBRNACNJ6AAE?,Jakarta,4.6,1,30.0
102,point coffee indomaret juanda raya tzut,https://food.grab.com/id/id/restaurant/point-coffee-indomaret-juanda-raya-tzut-delivery/6-CZD2A3U3JA31RE?,Jakarta,4.8,1,10.0
103,martabak pizza orins gondangdia,https://food.grab.com/id/id/restaurant/martabak-pizza-orins-gondangdia-delivery/IDGFSTI000036eo?,Jakarta,4.8,1,9.0
104,xiji senen,https://food.grab.com/id/id/restaurant/xiji-senen-delivery/6-CZLXCYNJN2EXJT?,Jakarta,4.7,1,2.0
105,astro kitchen menteng,https://food.grab.com/id/id/restaurant/astro-kitchen-menteng-delivery/6-C351KACTE3WFNN?,Jakarta,4.9,1,32.0
106,sari sari jajan pasar gedung sarinah,https://food.grab.com/id/id/restaurant/sari-sari-jajan-pasar-gedung-sarinah-delivery/6-C3VYR2VXVB3CN6?,Jakarta,4.8,1,31.0
107,ayam goreng petojo gambir,https://food.grab.com/id/id/restaurant/ayam-goreng-petojo-gambir-delivery/IDGFSTI000004og?,Jakarta,4.7,1,2.0
108,endoq telur gulung cilok pedas petojo selatan,https://food.grab.com/id/id/restaurant/endoq-telur-gulung-cilok-pedas-petojo-selatan-delivery/6-C3DHC3VHGXEACN?,Jakarta,4.5,1,37.0
109,d cost petojo gambir,https://food.grab.com/id/id/restaurant/d-cost-petojo-gambir-delivery/6-C3BVSACYGT4FGN?,Jakarta,4.7,1,15.0
110,reddog %EB%A0%88%EB%93%9C%EB%8F%85 plaza indonesia,https://food.grab.com/id/id/restaurant/reddog-%EB%A0%88%EB%93%9C%EB%8F%85-plaza-indonesia-delivery/6-C2NWNN2HRXEYHA?,Jakarta,4.8,1,38.0
111,cabang bakmi masadi kwitang kwitang,https://food.grab.com/id/id/restaurant/cabang-bakmi-masadi-kwitang-kwitang-delivery/6-CY5CENATJ2DJFA?,Jakarta,4.8,1,39.0
112,potato donuts pasar baru,https://food.grab.com/id/id/restaurant/potato-donuts-pasar-baru-delivery/6-C3BFUEWFTAE3CJ?,Jakarta,4.3,1,2.0
113,kopi kenangan ruko cideng,https://food.grab.com/id/id/restaurant/kopi-kenangan-ruko-cideng-delivery/6-CZEKVXXBAZKFV2?,Jakarta,4.9,1,40.0
114,molen onde small kwitang,https://food.grab.com/id/id/restaurant/molen-onde-small-kwitang-delivery/6-CZMCRTNYCVDDPE?,Jakarta,4.6,1,2.0
115,warung bubur manado dan snack samrat gondangdia,https://food.grab.com/id/id/restaurant/warung-bubur-manado-dan-snack-samrat-gondangdia-delivery/6-C2BJE6NWVEUHL6?,Jakarta,4.8,1,2.0
116,makaroni ngehe makaroni ngehe express st tanah abang,https://food.grab.com/id/id/restaurant/makaroni-ngehe-makaroni-ngehe-express-st-tanah-abang-delivery/6-C3U3GUXHWBU2G6?,Jakarta,4.7,1,41.0
117,a w hayam wuruk,https://food.grab.com/id/id/restaurant/a-w-hayam-wuruk-delivery/6-CYNCG2XJUGNJJT?,Jakarta,,0,2.0
118,kopi soe x bonsoe budi kemuliaan,https://food.grab.com/id/id/restaurant/kopi-soe-x-bonsoe-budi-kemuliaan-delivery/6-C3E2FGC3RABBMA?,Jakarta,4.6,1,2.0
119,cfc stasiun tanah abang,https://food.grab.com/id/id/restaurant/cfc-stasiun-tanah-abang-delivery/6-CY5KAPXUFABEEE?,Jakarta,4.6,1,2.0
120,selera manado grogol,https://food.grab.com/id/id/restaurant/selera-manado-grogol-delivery/6-C2VKLTNZDCBFG6?,Jakarta,4.8,1,2.0
121,tung s cafe cakwe bok cui pasar baru,https://food.grab.com/id/id/restaurant/tung-s-cafe-cakwe-bok-cui-pasar-baru-delivery/IDGFSTI00000wac?,Jakarta,4.7,1,2.0
122,shake shake in a tub gajah mada plaza,https://food.grab.com/id/id/restaurant/shake-shake-in-a-tub-gajah-mada-plaza-delivery/6-C3LCLPCYG3TWTE?,Jakarta,4.7,1,42.0
123,pempek megaria kwitang,https://food.grab.com/id/id/restaurant/pempek-megaria-kwitang-delivery/AWhL_MpSUxnp0OW7PobA?,Jakarta,4.7,1,2.0
124,pempek cawan putih kebon sirih,https://food.grab.com/id/id/restaurant/pempek-cawan-putih-kebon-sirih-delivery/6-C22FLVD3TAJXE6?,Jakarta,4.8,1,2.0
125,cireng corner gajah mada plaza,https://food.grab.com/id/id/restaurant/cireng-corner-gajah-mada-plaza-delivery/IDGFSTI0000256e?,Jakarta,4.6,1,43.0
126,asinan kebon kacang yusra kebon kacang,https://food.grab.com/id/id/restaurant/asinan-kebon-kacang-yusra-kebon-kacang-delivery/IDGFSTI000020h8?,Jakarta,4.8,1,2.0
127,enni kue pasar baru,https://food.grab.com/id/id/restaurant/enni-kue-pasar-baru-delivery/6-C23YVYKFHA53TE?,Jakarta,,0,2.0
128,boom burger menteng,https://food.grab.com/id/id/restaurant/boom-burger-menteng-delivery/6-C3TUL35HUF22L6?,Jakarta,4.6,1,34.0
129,sugakiya ramen stasiun senen,https://food.grab.com/id/id/restaurant/sugakiya-ramen-stasiun-senen-delivery/6-C25DLNACGBVTVX?,Jakarta,4.8,1,10.0
130,roti o st gambir 4,https://food.grab.com/id/id/restaurant/roti-o-st-gambir-4-delivery/6-C333JFWJGJJTNA?,Jakarta,5.0,1,21.0
131,puyo desserts plaza indonesia,https://food.grab.com/id/id/restaurant/puyo-desserts-plaza-indonesia-delivery/6-CZJVRNXVCVMDUA?,Jakarta,5.0,1,3.0
132,mochi mochio harmonie exchange,https://food.grab.com/id/id/restaurant/mochi-mochio-harmonie-exchange-delivery/6-C2X2VKTYR4LGBA?,Jakarta,4.8,1,2.0
133,mab toppoki pasar baru,https://food.grab.com/id/id/restaurant/mab-toppoki-pasar-baru-delivery/6-C2UJRLJZFEUTEN?,Jakarta,4.4,1,2.0
134,greenly healthy salad bowl juice menteng,https://food.grab.com/id/id/restaurant/greenly-healthy-salad-bowl-juice-menteng-delivery/6-C3UHG7JDR8BUTJ?,Jakarta,4.6,1,16.0
135,lawson jb tower,https://food.grab.com/id/id/restaurant/lawson-jb-tower-delivery/6-CZBHSB2DRKJ3TT?,Jakarta,4.7,1,2.0
136,lets toast mnc kebon sirih,https://food.grab.com/id/id/restaurant/lets-toast-mnc-kebon-sirih-delivery/6-C2U1J64AVVMHCX?,Jakarta,4.5,1,2.0
137,the halal guys grand indonesia,https://food.grab.com/id/id/restaurant/the-halal-guys-grand-indonesia-delivery/IDGFSTI000024au?,Jakarta,4.7,1,15.0
138,subway setiabudi one,https://food.grab.com/id/id/restaurant/subway-setiabudi-one-delivery/6-C25JTCKGRRAACN?,Jakarta,4.6,1,44.0
139,lasagna sendja tanah tinggi,https://food.grab.com/id/id/restaurant/lasagna-sendja-tanah-tinggi-delivery/6-C2UHA72JE4MHVT?,Jakarta,4.8,1,31.0
140,pizza hive johar baru,https://food.grab.com/id/id/restaurant/pizza-hive-johar-baru-delivery/6-C2WGVYABLX2HTJ?,Jakarta,4.6,1,45.0
