manhwa,score,ranked,popularity_rank,members,favorites
803,6.94,9310,18874,600,6
804,6.94,9312,21288,479,2
805,6.94,9313,3874,4845,12
806,6.94,9314,11216,1345,4
807,6.94,9315,17671,671,4
808,6.94,9355,7677,2216,50
809,6.94,9360,19318,574,2
810,6.94,9367,14527,924,6
811,6.94,9370,17569,677,1
812,6.94,9433,12781,1116,9
813,6.93,9450,18745,607,7
814,6.93,9473,3193,5930,29
815,6.93,9475,4401,4189,29
816,6.93,9476,8515,1936,1
817,6.93,9477,10907,1396,2
818,6.93,9479,8216,2028,12
819,6.93,9480,5420,3319,6
820,6.93,9490,22580,426,0
821,6.93,9500,20398,519,3
822,6.93,9502,18592,616,1
823,6.93,9522,16765,732,3
824,6.92,9566,11517,1295,3
825,6.92,9582,16088,786,4
826,6.92,9584,24863,351,14
827,6.92,9591,13677,1016,4
828,6.92,9594,15860,803,2
829,6.92,9600,20723,503,0
830,6.92,9616,6456,2717,6
831,6.92,9618,4565,4028,13
832,6.92,9619,21462,472,2
